,Adults SCL,Adults SCL,Adults SCL,Adults SCL,Adults OK,Adults OK,Adults OK,Adults OK,Adults NW,Adults NW,Adults NW,Adults NW,Children SCL,Children SCL,Children SCL,Children SCL,Children OK,Children OK,Children OK,Children OK,Children NW,Children NW,Children NW,Children NW
Protein Grouping Ambiguity,L06,L28,L11,L35,L26,L15,L20,L21,L36,L07,L24,L31,L48,L42,L25,L47,L22,L44,L16,L17,L12,L18,L23,L32
TRUE,20.949,2,17.974,25.974,15,0,19.974,19.974,16.974,6,6.9744,15.974,9.9744,30.949,8.9744,6.9744,5,2,2,4,0,5.9744,11,3
TRUE,0,0,0,0,0,0,5.1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,5.5994,19.399,15.399,9.5994,24.798,3,11.598,11.999,5.5994,23.398,6.5994,7.7997,13.999,10.399,1.7997,13.199,24.797,8.5994,0,5.5994,5.5994,18.399,3.7997,4.5994
TRUE,0,0,14.356,21.932,0,0,20.149,15.02,0,0,0,0,6.5359,5.4395,0,0,0,0,0,0,0,0,0,0
,10,5,21,17,19,0,14,11,20,9,7,15,13,24,8,8,7,4,6,10,3,7,13,7
TRUE,11.067,1.7245,10.961,8.9309,9.1404,8.7514,7.0837,5.2229,1.7575,7.5522,0,5.4159,10.17,10.17,8.1734,3.0702,12.505,7.5522,2.1362,8.9309,0,8.0672,2.3457,9.3097
TRUE,0,0,0,0,0,0,0,8.0639,3.4765,0,0,7.8289,0,0,0,0,0,0,0,0,0,0,0,0
TRUE,0,0,8.7984,5.6902,3.3988,0,0,0,3.8796,0,0,0,0,0,0,0,0,0,0,2.8629,0,0,0,0
TRUE,12.349,5.5609,15.137,13.928,17.352,0,20.964,13.776,13.133,3.7839,7.5678,11.14,10.36,16.137,8.5609,6.5678,5.3491,8.5609,2.5678,7.5609,2.5678,4.7839,12.126,3.5678
TRUE,4.5863,3.4886,9.0083,7.0353,9.528,1,10.99,9.0125,4.5156,2.4928,1.973,7.0521,7.0125,8.4782,1.973,4.4927,2.973,4.4927,4.0353,3.5156,1.973,1.973,2.0624,3.4927
TRUE,0,0,7.0506,0,0,0,5.4472,0,0,0,0,6.4834,0,4.3839,0,0,0,0,0,0,0,0,0,0
,12,14,10,8,20,3,8,7,11,8,7,9,5,3,13,9,13,9,14,7,10,9,11,14
TRUE,8.6707,0,13.671,9.7833,8.5875,13.471,11.484,5.8457,2.2166,8.1958,0,3.4125,12.475,13.454,5.6291,1.825,14.287,6.2374,0,7.8249,3.175,8.6707,1.5875,7.454
,8,3,22,14,9,0,16,8,8,8,2,17,22,21,1,6,18,1,0,3,1,20,10,3
TRUE,0,0,0,0,0,0,0,0,0,0,0,0,7.1814,0,0,0,0,0,0,0,0,0,0,0
