Date,Open,High,Low,Close,Adj Close,Volume
1962-06-19,4.396667,4.480000,4.346667,4.480000,1.091876,2107500
1962-06-20,4.480000,4.570000,4.373333,4.373333,1.065879,3060000
1962-06-21,4.320000,4.320000,4.203333,4.210000,1.026071,3712500
1962-06-22,4.210000,4.286667,4.140000,4.266667,1.039881,3375000
1962-06-25,4.266667,4.480000,4.206667,4.433333,1.080503,3795000
1962-06-26,4.433333,4.520000,4.266667,4.266667,1.039881,3232500
1962-06-27,4.273333,4.440000,4.273333,4.440000,1.082127,2962500
1962-06-28,4.470000,4.646667,4.470000,4.586667,1.117873,4087500
1962-06-29,4.586667,4.633333,4.510000,4.523333,1.102438,2827500
1962-07-02,4.523333,4.666667,4.513333,4.666667,1.137371,1395000
1962-07-03,4.666667,4.716667,4.640000,4.686667,1.142245,2587500
1962-07-05,4.686667,4.706667,4.650000,4.666667,1.137371,2017500
1962-07-06,4.613333,4.613333,4.560000,4.600000,1.121123,1627500
1962-07-09,4.600000,4.673333,4.546667,4.670000,1.138184,1890000
1962-07-10,4.750000,4.823333,4.750000,4.783333,1.165805,3052500
1962-07-11,4.783333,4.993333,4.763333,4.991667,1.216580,3315000
1962-07-12,5.003333,5.196667,5.003333,5.053333,1.231609,3300000
1962-07-13,5.053333,5.086667,4.966667,5.016667,1.222674,2107500
1962-07-16,5.016667,5.100000,4.966667,5.100000,1.242983,1657500
1962-07-17,5.100000,5.126667,4.933333,4.935000,1.202770,1710000
1962-07-18,4.935000,4.960000,4.826667,4.870000,1.186928,2437500
1962-07-19,4.896667,5.013333,4.896667,4.900000,1.194239,2197500
1962-07-20,4.913333,4.986667,4.913333,4.960000,1.208863,682500
1962-07-23,4.960000,5.026667,4.953333,4.973333,1.212111,840000
1962-07-24,4.946667,4.946667,4.843333,4.843333,1.180428,892500
1962-07-25,4.843333,4.913333,4.783333,4.900000,1.194239,1882500
1962-07-26,4.923333,4.973333,4.923333,4.926667,1.200738,952500
1962-07-27,4.926667,5.011667,4.923333,5.011667,1.221455,952500
1962-07-30,5.043333,5.165000,5.043333,5.165000,1.258825,2850000
1962-07-31,5.165000,5.246667,5.160000,5.160000,1.257607,2775000
1962-08-01,5.146667,5.146667,5.016667,5.016667,1.222674,1222500
1962-08-02,5.020000,5.143333,5.020000,5.143333,1.253544,1492500
1962-08-03,5.143333,5.166667,5.093333,5.133333,1.251108,952500
1962-08-06,5.133333,5.153333,5.060000,5.066667,1.234860,6607500
1962-08-07,5.061667,5.061667,4.976667,4.976667,1.213164,922500
1962-08-08,4.976667,5.106667,4.940000,5.090000,1.240791,1582500
1962-08-09,5.086667,5.086667,5.001667,5.020000,1.223727,1290000
1962-08-10,5.020000,5.063333,5.001667,5.010000,1.221290,982500
1962-08-13,5.013333,5.063333,5.013333,5.050000,1.231041,1020000
1962-08-14,5.050000,5.146667,5.041667,5.146667,1.254605,1897500
1962-08-15,5.153333,5.256667,5.153333,5.153333,1.256230,2347500
1962-08-16,5.153333,5.236667,5.143333,5.150000,1.255417,1275000
1962-08-17,5.150000,5.220000,5.146667,5.193333,1.265981,892500
1962-08-20,5.220000,5.296667,5.220000,5.250000,1.279794,1807500
1962-08-21,5.250000,5.306667,5.226667,5.236667,1.276544,1297500
1962-08-22,5.246667,5.486667,5.246667,5.453333,1.329361,3307500
1962-08-23,5.453333,5.530000,5.430000,5.473333,1.334236,2925000
